income_am,profit_last_am,profit_am,damage_am,damage_inc,crd_lim_rec,credit_use_ic,gluten_ic,lactose_ic,insurance_ic,spa_ic,empl_ic,cab_requests,married_cd,bar_no,sport_ic,neighbor_income,age,marketing_permit,urban_ic,dining_ic,presidential,client_segment,sect_empl,prev_stay,prev_all_in_stay,divorce,fam_adult_size,children_no,tenure_mts,company_ic,claims_no,claims_am,nights_booked,gender,shop_am,shop_use,retired,gold_status,score1_pos,score1_neg,score2_pos,score2_neg,score3_pos,score3_neg,score4_pos,score4_neg,score5_pos,score5_neg,income_am_missing,profit_last_am_missing,profit_am_missing,damage_am_missing,damage_inc_missing,crd_lim_rec_missing,credit_use_ic_missing,gluten_ic_missing,lactose_ic_missing,insurance_ic_missing,spa_ic_missing,empl_ic_missing,cab_requests_missing,married_cd_missing,bar_no_missing,sport_ic_missing,neighbor_income_missing,age_missing,marketing_permit_missing,urban_ic_missing,dining_ic_missing,presidential_missing,client_segment_missing,sect_empl_missing,prev_stay_missing,prev_all_in_stay_missing,divorce_missing,fam_adult_size_missing,children_no_missing,tenure_mts_missing,company_ic_missing,claims_no_missing,claims_am_missing,nights_booked_missing,gender_missing,shop_am_missing,shop_use_missing,retired_missing,gold_status_missing,score1_pos_missing,score1_neg_missing,score2_pos_missing,score2_neg_missing,score3_pos_missing,score3_neg_missing,score4_pos_missing,score4_neg_missing,score5_pos_missing,score5_neg_missing,outcome_damage_inc,outcome_damage_inc_proba,outcome_profit,outcome_damage_amount
5660.0,4320.0,8640.0,0.0,0.0,8000.0,0.0,0.0,1.0,0.0,0.0,0.0,11.0,1,6.0,1.0,34033.0,42.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,3.0,2.0,575.0,0.0,0.0,0.0,52.0,0,4577.729167209796,1.0,0.0,1.0,0.538418669755998,0.3968194860479255,0.4237419805654553,0.7636076018513358,0.3394217805782981,0.5985940899108515,0.2399429389126358,0.3737230339896561,0.3738807900632738,0.2415584415584415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0.0,0.4549470525819248,1530.0430913747416,388.7748651222452
3990.0,9.0,3450.0,0.0,0.0,12500.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,1,5.0,0.0,36372.0,42.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,174.0,0.0,0.0,0.0,4.0,1,0.0,0.0,0.0,0.0,0.527862392565781,0.5019329456020531,0.3060877304588466,0.4132274372366474,0.4514368604078816,0.5993145421107676,0.5640478305181004,0.5538575934021963,0.4639928779896934,0.5857142857142856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0.0,0.2265473989551951,2142.405305320356,168.0662431044661
1158.0,82.0,4194.0,408.0,4.0,12000.0,0.0,0.0,0.0,1.0,1.0,0.0,10.0,1,11.0,1.0,37619.0,38.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,3.0,1.0,229.0,0.0,0.0,0.0,222.0,1,0.0,0.0,0.0,0.0,0.0098108220955978,0.592842497066721,0.2930115512516615,0.3247687136520646,0.2524443046838512,0.7246933178941797,0.8180643666881074,0.3873614798356654,0.5878781922186402,0.574025974025974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0.0,0.338841996542272,1506.2885181339689,363.9153084094426
2451.0,791.0,2119.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,1,5.0,0.0,29266.0,66.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,375.0,0.0,0.0,0.0,3.0,1,0.0,0.0,0.0,0.0,0.5879488815045959,0.6268010095878187,0.5103032644876178,0.5493707484775114,0.4762831165981732,0.5851997475877088,0.7110232280201151,0.539230471558638,0.5133808297004252,0.4792207792207792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0.0,0.2245482475550513,2139.112294622112,153.91252383653062
946.0,222.0,2036.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,1,0.0,0.0,36221.0,63.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,417.0,0.0,0.0,0.0,34.0,0,0.0,0.0,0.0,0.0,0.6478698381169927,0.3705886976685191,0.6823487981624152,0.5731635053413673,0.4689506556991743,0.2905783188685379,0.284738434529302,0.5587575223638697,0.5116270801851133,0.7168831168831169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0.0,0.1505148444502499,1710.454504682178,79.69539288061073
227.0,0.0,1620.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,1,6.0,0.0,22576.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0,1,0.0,0.0,0.0,0.0,0.5621796544698983,0.6000160522618093,0.6458091079288997,0.4707999230977154,0.446527107461657,0.4448135258356257,0.674020374178955,0.6739558870234132,0.3858366430832048,0.1558441558441558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0.0,0.1900562653448831,1284.5492863700122,107.90806543016305
1359.0,467.0,2395.0,0.0,0.0,12500.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0,10.0,0.0,18045.0,34.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,0.0,184.0,0.0,0.0,0.0,13.0,1,0.0,0.0,0.0,0.0,0.4369139947837718,0.516501567544766,0.60331816343987,0.6573169104193377,0.580816101655514,0.4631008369831407,0.3864667550424747,0.599328829085516,0.6134222497877848,0.5883116883116883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0.0,0.2550807700265886,1603.9989202439597,151.28824419039867
2591.0,869.0,2209.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1,7.0,0.0,31751.0,61.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,382.0,0.0,0.0,0.0,2.0,1,1415.021156740573,1.0,1.0,0.0,0.5743956138956089,0.5815664273808964,0.5266830303300025,0.5281207650426987,0.5804982283810558,0.5852236327849498,0.4008675531720757,0.4781479423781675,0.0979496375145231,0.551948051948052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0.0,0.3531146395292456,2860.3408118096613,167.74495254701105
6426.0,2018.0,9015.0,2333.0,2.0,10000.0,0.0,0.0,0.0,1.0,1.0,0.0,10.0,0,3.0,0.0,39853.0,33.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,2.0,0.0,136.0,0.0,0.0,0.0,4.0,1,0.0,0.0,0.0,0.0,0.4712592885773178,0.54317792938206,0.3976041104455425,0.5288056705735237,0.5766048382786364,0.277479321699845,0.5010708240705164,0.441386027137648,0.3958900893133368,0.6038961038961038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,0.0,0.2549944791412347,3879.8339852312015,274.1283047007124
8622.0,3518.0,3014.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0,3.0,0.0,27090.0,79.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,324.0,0.0,0.0,0.0,33.0,0,0.0,0.0,1.0,0.0,0.2928878969256611,0.7889283756723119,0.6866843198958767,0.5803744940216861,0.5766598503157769,0.5566328390845474,0.4993611078226315,0.3188587389746231,0.5311928322643916,0.4155844155844156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0.0,0.1858424130297013,1420.3718636895787,115.40533373214517
