income_am,profit_last_am,profit_am,damage_am,damage_inc,crd_lim_rec,credit_use_ic,gluten_ic,lactose_ic,insurance_ic,spa_ic,empl_ic,cab_requests,married_cd,bar_no,sport_ic,neighbor_income,age,marketing_permit,urban_ic,dining_ic,presidential,client_segment,sect_empl,prev_stay,prev_all_in_stay,divorce,fam_adult_size,children_no,tenure_mts,company_ic,claims_no,claims_am,nights_booked,gender,shop_am,shop_use,retired,gold_status,score1_pos,score1_neg,score2_pos,score2_neg,score3_pos,score3_neg,score4_pos,score4_neg,score5_pos,score5_neg,outcome_profit,outcome_damage_inc,outcome_damage_amount,income_am_missing,profit_last_am_missing,profit_am_missing,damage_am_missing,damage_inc_missing,crd_lim_rec_missing,credit_use_ic_missing,gluten_ic_missing,lactose_ic_missing,insurance_ic_missing,spa_ic_missing,empl_ic_missing,cab_requests_missing,married_cd_missing,bar_no_missing,sport_ic_missing,neighbor_income_missing,age_missing,marketing_permit_missing,urban_ic_missing,dining_ic_missing,presidential_missing,client_segment_missing,sect_empl_missing,prev_stay_missing,prev_all_in_stay_missing,divorce_missing,fam_adult_size_missing,children_no_missing,tenure_mts_missing,company_ic_missing,claims_no_missing,claims_am_missing,nights_booked_missing,gender_missing,shop_am_missing,shop_use_missing,retired_missing,gold_status_missing,score1_pos_missing,score1_neg_missing,score2_pos_missing,score2_neg_missing,score3_pos_missing,score3_neg_missing,score4_pos_missing,score4_neg_missing,score5_pos_missing,score5_neg_missing
227.0,0.0,3201.0,888.0,6.0,15000.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1,2.0,1.0,28936.0,37.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,3.0,2.0,476.0,0.0,0.0,0.0,209.0,0,0.0,0.0,0.0,0.0,0.4677681895937277,0.9833398100939352,0.516273159434715,0.550909987739753,0.6088268147805932,0.5472205627635995,0.8381471071753719,0.0822880001580627,0.43831038729364985,0.7430676490288011,1791.66,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1
268.0,16.0,1682.0,0.0,0.0,750.0,0.0,0.0,0.0,1.0,1.0,0.0,7.0,1,3.0,0.0,16674.0,18.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,27.0,0.0,0.0,0.0,4.0,0,0.0,0.0,0.0,0.0,0.46417390760742216,0.548300470316984,0.5288537724989079,0.4269669675081153,0.648419964619354,0.6244465069496733,0.5202803089112512,0.3764614938577727,0.578135639067358,0.8104487608841259,1672.78,1.0,829.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0
283.0,23.0,1673.0,0.0,0.0,750.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1,4.0,0.0,32552.0,21.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,95.0,0.0,0.0,0.0,6.0,0,0.0,0.0,0.0,0.0,0.5569773752600631,0.4935881464101424,0.2323748565109472,0.099528773617558,0.660282776735637,0.29728328499218737,0.5675085429245681,0.4829535498551495,0.1019548979044747,0.12592096450100468,1001.4,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0
227.0,0.0,1685.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1,8.0,1.0,32252.0,37.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,2.0,158.4,0.0,0.0,0.0,4.0,1,0.0,0.0,0.0,0.0,0.46193863225203274,0.7178631983922631,0.46236206563233545,0.5871163499853429,0.7127879836329369,0.8897926505605012,0.6985557252581398,0.49340534355452637,0.44884303398194103,0.4625586068318821,1785.59,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1
4091.0,1028.0,3425.0,785.0,2.0,14000.0,0.0,0.0,1.0,0.0,1.0,0.0,4.0,0,2.0,1.0,29605.0,26.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,354.0,0.0,0.0,0.0,3.0,1,1454.2106266736826,1.0,0.0,0.0,0.5015202901036941,0.8179279450831956,0.4988524129388856,0.5900292809425608,0.3305032292193999,0.7662943349266463,0.4904860478691031,0.5424453606796794,0.37885874317812285,0.6677829872739451,3140.74,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1
5108.0,289.0,6280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0,6.0,0.0,27621.0,84.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,350.0,0.0,0.0,0.0,4.0,1,0.0,0.0,1.0,1.0,0.5712807952612187,0.4540058693534781,0.47934127269198584,0.4837965191763729,0.4210636166946807,0.5844407315047057,0.8728120997094081,0.6682723890355183,0.7292902307839216,0.6096450100468854,4318.76,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1
13293.0,28.0,14704.0,0.0,0.0,15000.0,0.0,1.0,1.0,1.0,1.0,0.0,8.0,1,18.0,0.0,33459.0,46.0,0.0,1.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,3.0,2.0,324.0,0.0,0.0,0.0,82.0,0,0.0,0.0,0.0,1.0,0.5669064700512313,0.8463201114717805,0.5957434445890715,0.9017025974768614,0.36386672532338554,0.5182240564165616,0.3617779936025455,0.4774841382651558,0.7012090780157125,0.36878767582049565,1676.75,1.0,888.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
227.0,0.0,1620.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1,9.0,0.0,29087.0,56.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,38.2,0.0,0.0,0.0,4.0,1,0.0,0.0,0.0,0.0,0.5009549844851622,0.5680284432205882,0.23983506522434017,0.2530514345559637,0.7652152620947483,0.6259340474345667,0.5703154523214049,0.5769951914597587,0.5737874560565631,0.4471533824514401,1127.05,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1
229.0,810.0,1620.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1,6.0,0.0,33508.0,33.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,4.0,0,0.0,0.0,0.0,0.0,0.30761039510945193,0.4066063983400551,0.6151833288656039,0.3604478706741041,0.63710642475716,0.5228775865084947,0.5308800835426346,0.5781046885646385,0.6011700974403349,0.6972538513060951,1640.31,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0
229.0,810.0,1620.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,1,6.0,0.0,31718.0,29.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,145.0,0.0,0.0,0.0,4.0,0,0.0,0.0,0.0,0.0,0.45570841435720866,0.41653888481263257,0.587576464688105,0.6293224887401839,0.1963727111366381,0.3186005413325961,0.3907193050814568,0.34885870501122557,0.4365251740468351,0.5460147354320162,1861.78,1.0,981.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1
